1003B	2.00	20000825	1	From IR ODP 166, p.
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	2.99
2	3.0	11.90
3	12.5	12.60
4	22.0	26.03
5	31.5	40.29
6	41.0	50.73
7	50.5	60.38
8	60.0	69.53
9	69.5	79.29
10	79.0	84.09
11	88.5	98.13
12	98.1	100.83
13	107.7	117.27
14	117.4	118.61
15	127.1	134.24
16	136.8	138.82
17	146.5	146.99
18	156.2	156.55
19	165.9	171.50
20	175.6	183.64
21	185.3	194.92
22	195.0	200.97
23	204.7	210.63
24	214.3	220.00
25	224.0	224.23
26	233.7	234.63
27	243.3	243.89
28	252.9	254.69
29	262.5	263.85
30	272.2	272.20
31	281.8	284.81
32	291.4	294.67
33	301.0	301.28
34	310.6	312.03
35	320.2	323.15
36	329.9	334.12
37	339.4	339.77
38	349.0	352.23
39	358.6	360.08
40	368.2	369.02
41	377.9	378.40
42	387.5	388.97
43	397.1	400.70
44	406.8	407.40
45	416.4	422.40
46	426.1	426.60
47	435.7	436.17
48	445.3	446.76
49	454.9	456.19
50	464.6	466.76
51	474.2	474.72
52	483.9	484.45
53	493.5	493.83
54	503.1	505.68
55	512.7	513.50
56	522.4	525.48
57	532.0	533.92
