1003C	2.00	20000825	1	From IR ODP 166, p.76+77
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	406.0	409.88
2	415.6	416.92
3	473.5	475.30
4	483.1	487.35
5	492.7	494.58
6	502.3	506.38
7	511.9	513.33
8	521.5	524.36
9	530.5	534.21
10	540.1	541.60
11	549.7	550.73
12	559.3	560.80
13	568.9	570.56
14	578.6	582.32
15	588.3	590.86
16	597.9	600.62
17	607.5	611.22
18	617.1	621.41
19	626.7	628.77
20	636.3	642.39
21	646.0	651.11
22	655.7	659.41
23	665.3	666.57
24	674.9	678.86
25	684.5	688.53
26	694.1	699.41
27	703.6	706.76
28	713.2	713.87
29	722.8	727.04
30	732.4	737.62
31	742.0	744.34
32	751.6	760.12
33	761.2	764.82
34	770.8	774.66
35	780.4	788.55
36	790.1	798.55
37	799.8	806.54
38	809.4	817.02
39	819.0	821.29
40	828.6	835.61
41	838.2	842.43
42	847.9	853.65
43	857.5	860.06
44	867.1	872.85
45	876.7	881.26
46	886.3	892.57
47	896.0	896.58
48	905.6	911.64
49	915.2	915.79
50	924.8	927.25
51	934.5	934.89
52	944.1	946.79
53	953.7	954.81
54	963.4	966.88
55	973.0	975.88
56	982.6	984.83
57	992.2	995.14
58	1001.8	1004.71
59	1011.4	1015.16
60	1021.1	1025.54
61	1030.7	1033.08
62	1040.3	1044.44
63	1050.0	1052.19
64	1059.6	1063.97
65	1069.2	1072.06
66	1078.9	1086.79
67	1088.5	1097.80
68	1098.1	1106.59
69	1107.8	1109.61
70	1117.4	1126.06
71	1127.1	1130.39
72	1136.7	1145.98
73	1146.3	1151.41
74	1156.0	1157.97
75	1165.6	1166.53
76	1175.2	1184.65
77	1184.9	1188.84
78	1194,5	1198.60
79	1204.1	1213.32
80	1213,7	1217.98
81	1223.3	1229.17
