1007C	2.00	20000824	1	From IR ODP 166, p.294
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	302.0	303.40
2	311.6	312.00
3	321.2	323.6
4	330.8	332.70
5	340.4	343.10
6	350.0	353.50
7	359.6	362.90
8	369.3	373.10
9	378.9	382.70
10	388.5	392.10
11	398.1	401.60
12	407.7	412.20
13	417.4	420.90
14	427.0	431.00
15	436.7	443.20
16	446.3	450.10
17	455.9	464.30
18	465.5	472.50
19	475.2	482.60
20	484.8	487.50
21	494.4	501.50
22	504.1	509.80
23	513.7	522.00
24	523.3	532.00
25	532.9	542.40
26	542.5	551.20
27	552.1	560.40
28	561.8	566.70
29	571.4	580.10
30	581.0	587.10
31	690.6	598.70
32	600.2	602.00
33	609.8	610.00
34	619.4	623.80
35	629.0	633.60
36	638.7	641.10
37	648.3	653.50
38	657.9	661.90
39	667.5	671.30
40	677.1	685.10
41	686.8	692.80
42	696.4	701.20
43	706.0	710.20
44	715.6	719.90
45	725.2	731.60
46	734.8	739.90
47	744.4	750.20
48	754.1	760.20
49	763.7	769.20
50	773.3	778.50
51	783.0	788.30
52	792.6	797.20
53	802.2	807.30
54	811.9	816.20
55	821.5	824.80
56	831.1	835.40
57	840.7	845.20
58	850.3	855.00
59	859.9	862.30
60	869.5	873.40
61	879.1	880.80
62	888.7	891.40
63	898.3	902.90
64	907.90	908.80
65	917.6	923.70
66	927.2	935.00
67	936.9	939.20
68	946.5	949.10
69	956.1	963.60
70	965.7	974.30
71	975.3	977.70
72	985.0	990.00
73	994.6	1002.80
74	1004.3	1011.50
75	1013.9	1022.10
76	1023.5	1028.60
77	1033.1	1034.40
78	1042.8	1051.30
79	1052.4	1058.90
80	1062.1	1070.50
81	1071.7	1079.80
82	1081.3	1085.00
83	1091.0	2000.00
84	1100.6	1110.10
85	1110.3	1119.80
86	1119.9	1126.30
87	1129.5	1135.40
88	1139.2	1146.80
89	1148.8	1157.50
90	1158.4	1167.30
91	1168.1	1175.80
92	1177.7	1183.70
93	1187.3	1190.90
94	1196.9	1199.60
95	1206.5	1208.90
96	1216.1	1219.60
97	1225.8	1228.70
