1009A	2.00	20000823	1	From IR ODP 166, p.350
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	4.80
2	4.8	14.10
3	14.3	22.20
4	23.8	28.50
5	33.3	38.10
6	38.3	39.40
7	42.3	51.70
8	51.8	61.60
9	61.3	71.00
10	70.8	72.10
11	73.8	82.30
12	83.3	84.30
13	86.3	95.90
14	95.8	104.90
15	105.3	111.80
16	111.8	113.70
17	113.8	121.00
18	123.5	125.70
19	132.9	140.10
20	142.5	147.70
21	152.0	152.00
22	161.5	167.10
23	170.8	178.90
24	180.1	189.70
25	189.4	199.00
26	198.5	205.80
27	207.6	217.50
28	216.7	224.60
