1027B	2.00	20010820	1	From IR ODP, 168, p.106
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	4.23
2	4.2	4.20
3	13.7	22.99
4	23.2	33.25
5	32.7	42.06
6	42.2	51.82
7	51.7	60.26
8	61.2	71.00
9	70.7	80.11
10	80.2	87.70
11	87.7	87.80
12	97.5	97.50
13	107.1	107.47
14	116.7	116.80
15	126.3	126.30
16	135.9	135.90
17	145.5	150.98
18	155.1	155.32
19	164.7	166.71
20	174.3	174.86
21	183.9	184.21
22	193.5	200.29
23	203.2	204.91
24	212.8	213.09
25	222.4	225.31
26	232.0	237.44
27	241.6	243.98
28	251.3	259.40
29	260.9	270.76
30	270.5	279.99
31	280.1	289.86
32	289.8	289.62
33	299.4	309.27
34	309.1	319.00
35	318.7	323.21
36	328.4	338.23
37	338.0	348.00
38	347.7	357.61
39	357.3	367.15
40	367.0	376.79
41	376.6	381.48
42	386.2	394.89
43	395.8	405.63
44	405.4	415.28
45	415.0	424.96
46	424.6	431.92
47	434.2	443.76
48	443.9	453.75
49	453.5	463.36
50	463.0	472.87
51	472.6	481.34
52	482.2	492.07
53	491.7	501.57
54	501.3	511.13
55	511.0	520.83
56	520.6	530.58
57	530.3	540.16
58	539.9	549.27
59	549.5	559.38
60	559.1	568.96
61	568.3	568.81
62	572.8	573.23
