1043A	2.00	20010612	1	From IR ODP 170p.218
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	8.01
2	8.0	16.91
3	16.9	21.54
4	24.4	29.80
5	33.4	38.96
6	42.8	48.67
7	52.2	59.72
8	61.6	69.50
9	71.2	80.71
10	80.7	86.20
11	90.3	94.84
12	99.9	109.73
13	109.5	117.16
14	119.2	126.37
15	128.7	130.34
16	138.3	144.55
17	147.9	151.84
18	157.5	161.55
19	167.1	176.93
20	176.6	181.92
21	186.0	195.16
22	195.6	205.87
23	205.2	214.49
24	214.8	224.55
25	224.5	234.35
26	234.1	241.93
27	243.7	253.57
28	253.3	263.15
29	263.0	272.86
30	272.6	282.29
