1050A	2.00	19991216	1	From IR ODP 171B, p. 96
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	6.88
2	10.1	20.21
3	19.6	29.64
4	29.1	38.74
5	38.6	48.35
6	48.1	57.86
7	57.6	67.53
8	67.1	76.69
9	76.6	86.34
10	86.1	95.95
11	95.6	104.44
12	105.2	106.54
13	114.8	122.49
14	124.4	132.74
15	134.0	141.83
16	143.6	153.40
17	153.2	157.99
18	162.8	168.95
19	172.4	182.19
20	182.0	191.84
21	189.6	199.31
22	199.2	209.00
23	208.8	218.72
24	218.4	228.24
25	228.0	228.31
26	237.7	242.03
27	241.7	249.15
28	247.3	255.41
29	256.9	266.84
30	266.5	276.14
31	276.1	285.98
32	285.7	291.76
33	288.9	298.13
34	295.3	300.11
35	304.9	314.64
36	314.5	319.74
