1050C	2.00	19991216	1	From IR ODP 171B, p.96
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	317.5	317.50
2	327.1	336.99
3	336.7	343.48
4	346.3	354.43
5	355.9	364.12
6	365.5	375.34
7	375.2	380.38
8	384.9	389.69
9	394.5	401.40
10	404.1	406.43
11	408.7	412.98
12	413.7	413.90
13	423.3	433.22
14	433.0	433.00
15	442.6	452.54
16	452.2	456.32
17	461.8	470.73
18	471.4	478.90
19	481.0	484.58
20	490.6	496.98
21	500.2	510.15
22	509.80	510.57
23	519.4	529.28
24	529.1	532.17
25	538.7	544.09
26	548.4	555.62
27	558.0	567.67
28	567.6	567.38
29	577.2	586.71
30	586.8	595.83
31	596.4	605.41
