1051A	2.00	19991216	1	From IR ODP 171B, p.174
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	0.00
2	5.8	15.27
3	15.3	25.34
4	24.8	34.56
5	34.3	44.13
6	43.8	53.65
7	53.3	62.93
8	62.8	72.62
9	72.3	81.10
10	81.8	91.06
11	91.3	100.06
12	100.8	110.39
13	110.3	119.95
14	119.8	129.83
15	129.3	138.69
16	138.8	148.90
17	148.3	156.85
18	158.2	167.22
19	167.8	177.56
20	177.4	187.18
21	187.0	196.82
22	196.6	202.67
23	206.2	216.00
24	215.8	225.45
25	225.4	235.27
26	235.0	244.65
27	244.6	254.49
28	254.2	264.00
29	263.8	273.44
30	273.4	280.47
31	283.0	292.82
32	292.6	300.43
33	302.2	307.77
34	311.8	321.73
35	321.5	330.52
36	331.1	340.91
37	340.7	347.09
38	350.4	359.84
39	360.1	369.75
40	369.7	377.20
41	379.3	380.60
42	389.9	399.81
43	399.5	409.48
44	409.1	418.99
45	418.7	428.60
46	428.3	438.18
47	437.9	447.78
48	447.5	457.30
49	457.1	460.48
50	460.2	467.41
51	466.8	476.58
52	476.5	486.43
53	486.1	495.97
54	495.7	504.18
55	505.3	510.87
56	514.9	524.74
57	524.5	564.40
58	534.1	543.93
59	543.7	553.14
60	553.3	556.18
61	556.4	562.15
62	562.9	572.65
63	572.5	582.32
64	582.1	582.19
65	591.8	601.67
66	601.5	611.33
67	611.1	620.11
68	620.7	624.85
69	624.3	625.32
70	630.4	631.21
71	634.5	634.79
72	640.0	642.46
73	641.6	644.25
