1051B	2.00	19991216	1	From IR ODP 171B, p.174
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	0.00
2	4.8	14.83
3	14.3	23.96
4	23.8	33.72
5	33.3	43.34
6	42.8	52.59
7	52.3	62.65
8	61.8	71.57
9	71.3	81.35
10	80.8	90.71
11	87.3	96.42
12	96.8	106.16
13	106.3	115.92
14	115.8	124.55
15	125.3	134.76
16	134.8	123.94
17	143.3	152.92
18	152.9	162.67
19	162.5	168.69
20	172.1	181.68
21	181.7	190.47
22	191.2	200.98
23	200.8	210.54
24	210.5	220.20
25	220.1	229.93
26	229.7	239.52
27	239.4	246.51
28	249.0	258.81
29	258.6	268.43
30	268.2	277.99
31	277.8	287.58
32	287.4	294.98
33	293.6	303.43
34	303.2	307.09
35	308.9	315.48
36	312.9	32.599
37	322.5	332.31
38	332.10	337.83
39	341.7	351.45
40	351.3	361.20
41	360.9	370.72
42	370.5	373.63
43	376.1	377.01
44	380.1	380.95
45	382.7	385.86
46	389.7	398.50
47	399.3	409.10
48	409.0	418.83
49	418.6	428.44
50	428.3	438.14
51	437.9	447.73
52	447.6	457.49
53	457.3	458.10
54	466.9	476.75
55	476.5	486.37
56	486.1	495.60
57	495.7	502.69
58	502.3	508.46
59	506.3	511.06
60	510.9	517.70
61	516.9	526.80
