1052E	2.00	19991217	1	From IR ODP 171B, p.245
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	140.0	142.18
2	146.4	148.17
3	156.0	159.49
4	165.6	165.78
5	175.2	175.96
6	184.8	185.53
7	194.4	194.48
8	204.0	210.42
9	213.6	215.99
10	223.2	230.92
11	232.8	234.82
12	242.4	248.34
13	252.0	256.07
14	261.7	263.44
15	271.3	274.18
16	280.9	289.12
17	290.5	300.35
18	300.1	312.79
19	309.7	311.78
20	319.3	329.17
21	328.9	336.19
22	338.6	344.01
23	348.3	354.75
24	357.9	362.60
25	367.5	368.89
26	377.1	387.04
27	386.7	395.38
28	396.3	400.16
29	405.9	414.55
30	415.5	424.25
31	425.1	434.98
32	434.7	434.70
33	444.3	445.95
34	453.9	455.98
35	463.6	468.68
36	473.2	482.56
37	482.8	492.46
38	492.4	501.09
39	502.0	511.38
40	510.6	516.88
41	520.3	529.55
42	529.9	538.37
43	539.5	549.54
44	549.1	558.10
45	558.7	561.10
46	568.3	575.68
47	578.0	587.43
48	587.6	597.43
49	597.3	606.41
50	606.9	610.75
51	616.6	617.34
52	621.7	627.68
53	627.2	634.40
54	636.8	640.42
55	646.4	656.05
56	656.0	657.38
57	665.6	675.51
58	675.2	682.60
