1062B	2.00	20011227	1	From IR ODP, 172, p. 162-163
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	5.00
2	5.0	14.74
3	14.5	23.00
4	24.0	33.78
5	33.5	43.44
6	43.0	52.87
7	52.5	62.42
8	62.0	71.68
9	71.5	78.95
10	81.0	90.76
11	90.5	100.26
12	100.0	109.38
13	109.5	119.04
14	119.0	128.74
15	128.5	138.13
16	138.0	147.93
17	147.5	156.70
18	156.7	161.17
19	162.1	172.06
20	171.7	181.39
21	181.3	191.15
22	190.9	200.58
23	200.5	210.47
24	210.2	219.69
25	219.8	229.12
26	229.4	239.13
27	239.0	239.00
