1068A	2.00	20011108	1	From IR ODP, 173, p.165
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	711.3	719.57
2	720.9	727.87
3	730.6	740.45
4	740.3	749.26
5	749.9	757.74
6	759.6	769.55
7	769.3	776.43
8	778.9	788.77
9	788.5	798.12
10	798.1	802.60
11	807.7	815.43
12	817.3	827.21
13	826.9	835.78
14	836.6	845.73
15	846.3	852.87
16	855.9	862.81
17	865.6	869.97
18	869.2	873.74
19	875.2	882.00
20	884.9	893.68
21	894.5	896.34
22	904.2	906.36
23	913.8	916.52
24	923.2	925.12
25	932.6	935.95
26	937.0	940.78
27	941.9	943.13
28	946.4	950.58
29	951.3	954.13
