1093D	2.00	20000117	1	From IR ODP 177, p.65+66
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	136.0	142.92
2	145.5	147.73
3	155.0	160.0
4	164.5	173.22
5	174.0	182.83
6	183.5	189.27
7	193.0	195.36
8	202.5	208.47
9	212.0	212.00
10	221.5	226.84
11	231.0	237.77
12	240.5	245.57
13	250.0	256.25
14	259.5	260.08
15	269.0	270.44
16	278.5	278.55
17	288.0	288.53
18	297.5	297.52
19	307.0	307.00
20	313.0	313.02
21	319.0	319.01
22	328.6	329.80
23	329.6	326.90
24	338.3	338.33
25	348.0	348.02
26	357.7	357.70
27	367.4	373.42
28	377.0	378.88
29	386.2	386.20
30	395.9	398.05
31	405.5	405.50
32	415.1	415.34
33	424.7	434.43
34	434.3	441.40
35	443.9	453.15
36	453.3	463.01
37	462.9	472.79
38	472.5	480.28
39	482.0	489.17
40	491.6	495.69
41	501.3	502.74
42	510.9	510.90
43	520.6	520.60
44	530.2	531.36
45	539.9	545.38
46	549.5	552.56
47	559.1	559.54
48	568.8	568.99
49	578.4	578.52
50	588.0	588.50
