1095B	2.00	20000203	1	From IR ODP 178, CD-ROM ch.4, p.119-120
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	83.0	92.83
2	92.5	100.83
3	102.0	112.12
4	111.5	121.38
5	121.0	130.78
6	130.5	140.04
7	140.0	149.89
8	149.5	158.88
9	159.0	168.97
10	168.5	177.99
11	178.0	187.68
12	187.5	197.06
13	197.0	203.68
14	205.0	211.11
15	214.7	218.50
16	224.3	228.81
17	233.9	243.67
18	243.5	253.14
19	253.1	253.12
20	262.7	272.41
21	272.4	282.16
22	282.1	288.35
23	291.7	301.26
24	301.3	311.08
25	310.9	320.50
26	320.6	330.40
27	330.2	339.81
28	339.8	349.54
29	349.5	359.17
30	359.2	368.84
31	368.8	378.59
32	378.4	388.17
33	387.7	397.45
34	397.3	406.94
35	406.6	415.13
36	416.2	425.81
37	425.8	431.34
38	435.5	445.18
39	445.1	454.87
40	454.8	464.41
41	464.5	474.18
42	474.1	483.79
43	483.8	486.02
44	493.4	493.67
45	498.0	500.18
46	503.0	505.23
47	512.7	513.76
48	522.4	523.75
49	532.1	533.56
50	541.7	544.34
51	551.4	552.60
52	560.8	561.78
