1096B	2.00	20000203	1	From IR ODP 178, CD-ROM ch. 5, p.101
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	3.76
2	3.8	13.37
3	13.3	23.10
4	22.8	32.25
5	32.3	42.30
6	41.8	51.77
7	51.3	61.27
8	60.8	70.52
9	70.3	80.07
10	79.8	88.51
11	89.3	98.72
12	98.8	108.21
13	108.3	115.84
14	115.9	115.95
15	125.5	125.50
16	135.2	144.06
17	144.1	150.03
18	150.1	150.70
19	150.7	157.68
20	157.7	166.67
21	166.7	166.85
22	166.9	168.90
23	174.0	180.99
24	183.6	193.03
25	193.2	193.20
26	202.9	212.44
27	212.5	218.11
28	222.1	226.99
29	231.7	239.77
30	241.3	247.29
31	248.0	250.32
32	251.0	257.30
