1096C	2.00	20000203	1	From IR ODP 178, CD-ROM ch. 5, p.101-102
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	114.0	123.77
2	167.0	176.80
3	193.0	202.56
4	202.6	212.23
5	212.2	219.66
6	221.8	228.98
7	255.2	262.31
8	260.9	270.73
9	270.5	280.49
10	280.0	289.84
11	289.6	290.58
12	299.2	309.19
13	308.8	317.08
14	318.5	328.39
15	328.2	337.97
16	337.9	347.69
17	347.5	352.91
18	357.2	366.77
19	366.9	377.00
20	376.6	378.16
21	386.2	395.55
22	398.5	405.75
23	405.5	414.43
24	415.1	418.65
25	424.8	434.54
26	434.4	436.82
27	444.0	453.63
28	453.6	463.70
29	463.2	473.19
30	472.9	482.80
31	482.5	492.50
32	492.1	501.84
33	501.7	509.05
34	511.4	521.39
35	521.0	527.54
36	530.7	540.06
37	540.4	550.30
38	550.1	559.42
39	559.8	559.80
40	569.4	473.52
41	579.1	588.84
42	588.6	589.11
43	598.1	598.44
