1097A	2.00	20000203	1	From IR ODP 178, CD-ROM ch. 6, p.59
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	0.01
2	7.5	7.500
3	15.4	15.60
4	25.0	25.60
5	34.6	35.00
6	44.2	44.50
7	53.6	53.60
8	63.2	63.40
9	72.8	73.30
10	82.4	83.50
11	92.1	92.50
12	101.8	103.90
13	111.5	112.70
14	116.1	117.30
15	121.1	122.90
16	125.7	126.40
17	130.7	133.40
18	140.3	141.30
19	149.9	151.10
20	159.50	159.70
21	164.1	164.10
22	169.2	169.40
23	178.9	179.70
24	188.5	188.70
25	198.1	199.90
26	207.7	208.90
27	217.3	219.40
28	226.9	28.306
29	236.6	236.84
30	246.2	246.40
31	255.7	255.90
32	265.3	265.69
33	274.9	275.76
34	284.5	288.80
35	293.9	296.30
36	303.5	308.80
37	313.1	316.20
38	322.7	322.90
39	332.3	334.10
40	341.9	343.80
41	346.9	347.20
42	351.5	353.90
43	356.5	356.80
44	361.2	365.60
45	370.8	373.60
46	380.5	382.80
47	390.2	390.40
48	399.8	401.30
49	409.4	409.60
50	419.0	419.70
51	428.6	428.70
