1103A	2.00	20000204	1	From IR ODP 178, CD-ROM ch. 9, p. 79-80
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	0.25
2	10.8	10.98
3	16.8	17.00
4	26.4	26.49
5	36.0	36.11
6	45.6	45.63
7	55.2	55.20
8	64.8	65.32
9	74.4	74.67
10	84.0	84.41
11	93.7	94.08
12	103.3	103.52
13	113.0	113.25
14	122.6	122.85
15	132.2	132.35
16	141.8	141.82
17	151.4	151.74
18	161.1	161.75
19	170.7	171.06
20	180.3	180.72
21	189.9	189.97
22	199.5	199.64
23	209.1	209.30
24	218.4	218.58
25	228.0	228.03
26	237.7	237.76
27	247.3	250.61
28	256.9	263.42
29	266.6	269.10
30	276.2	276.52
31	285.8	289.37
32	295.2	295.58
33	304.8	306.51
34	314.5	319.61
35	324.1	326.54
36	333.7	338.80
37	343.4	348.81
38	353.0	355.39
