1122C	2.00	20000802	1	From IR ODP 181, , p.73-74
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	2.5
2	2.5	12.30
3	9.5	17.10
4	14.0	23.70
5	23.5	32.50
6	33.0	42.20
7	42.5	50.20
8	52.0	61.40
9	61.5	70.20
10	71.0	80.40
11	80.5	87.00
12	86.9	94.80
13	94.9	103.70
14	103.7	108.10
15	108.0	111.40
16	117.6	123.00
17	127.2	133.50
18	136.9	140.60
19	146.5	150.60
20	156.1	161.30
21	165.7	168.10
22	175.3	177.00
23	185.0	187.40
24	194.7	195.50
25	204.3	205.00
26	214.0	218.10
27	223.7	227.20
28	233.3	237.80
29	242.9	247.70
30	252.5	268.40
31	261.7	266.40
32	271.3	273.90
33	280.7	288.06
34	290.4	297.80
35	309.6	317.60
36	309.6	318.30
37	319.3	328.40
38	328.9	333.40
39	348.2	353.50
40	348.2	351.50
41	357.9	360.00
42	367.5	372.20
43	377.2	377.60
44	386.9	392.60
45	396.6	402.60
46	406.2	412.50
47	415.9	421.60
48	425.5	432.50
49	435.2	444.50
50	444.8	452.20
51	454.4	463.70
52	464.1	472.80
53	473.4	478.40
54	483.0	488.30
55	492.7	500.00
56	502.3	507.90
57	511.9	517.20
58	521.5	523.60
59	531.2	531.30
60	540.7	541.20
61	550.4	555.60
62	560.0	563.40
63	569.6	571.30
64	579.3	580.90
65	588.9	590.70
66	598.5	599.50
67	608.2	609.20
68	617.8	617.90
