1123C	2.00	20000802	1	From IR ODP 181, p. 76
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	9.02
2	9.0	18.53
3	18.5	28.29
4	28.0	37.59
5	37.5	46.35
6	47.0	56.91
7	56.5	66.35
8	66.0	75.82
9	75.5	84.15
10	85.0	94.94
11	94.5	104.21
12	104.0	113.87
13	113.5	123.24
14	123.0	133.05
15	132.5	142.09
16	142.0	151.79
17	151.5	151.50
17	230.0	236.39
18	239.6	239.60
18	484.0	488.95
19	488.5	498.20
20	498.1	506.54
21	507.7	517.11
22	517.4	527.21
23	527.0	536.81
24	536.6	546.36
25	546.2	555.86
26	555.7	565.37
27	565.4	575.06
28	575.1	583.88
29	584.7	593.41
30	594.3	599.74
31	603.9	611.18
32	613.6	619.21
33	623.2	625.86
