1125B	2.00	20000802	1	From IR ODP 181, p.79
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	8.30
2	8.3	17.95
3	17.8	27.31
4	27.3	36.68
5	36.8	46.66
6	46.3	56.03
7	55.8	65.75
8	65.3	74.42
9	74.8	84.65
10	84.3	92.80
11	93.8	103.73
12	103.3	112.95
13	112.8	122.70
14	122.3	132.24
15	131.8	141.72
16	141.3	151.27
17	150.8	160.86
18	160.3	169.69
19	169.8	179.78
20	179.3	188.33
21	188.8	198.54
22	197.2	207.01
23	206.8	206.27
24	216.4	223.90
25	226.0	234.82
26	235.6	245.32
27	245.2	253.95
28	254.8	264.54
29	264.4	274.04
30	274.1	282.33
31	283.7	288.38
32	293.3	303.12
33	303.0	312.79
34	312.6	321.04
35	321.9	331.79
36	331.5	332.78
37	341.1	348.41
38	350.7	360.47
39	360.4	370.09
40	370.1	379.12
41	379.7	389.46
42	389.4	396.07
43	399.0	406.83
44	408.6	412.13
45	418.3	427.91
46	427.9	437.72
47	437.5	447.13
48	446.8	450.87
49	456.4	466.00
50	466.0	475.15
51	475.2	485.00
52	484.9	494.59
53	494.5	503.63
54	504.1	512.83
55	513.8	521.08
56	523.4	532.99
57	533.0	542.32
58	542.6	548.32
