1129D	2.00	20020416	1	From IR ODP 182, CD-ROM,ch.7,p.66-67
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	280.0	282.36
2	289.8	290.60
3	373.2	373.65
4	382.8	383.23
5	392.6	392.97
6	402.3	403.15
7	411.9	413.37
8	421.5	422.99
9	431.1	434.75
10	440.7	442.55
11	450.3	453.67
12	459.9	462.03
13	469.5	476.96
14	479.1	481.78
15	488.7	491.73
16	498.3	507.66
17	507.9	512.17
18	517.5	521.55
19	527.1	533.22
20	536.8	546.36
21	546.5	554.73
22	556.1	557.70
23	565.8	565.94
24	575.4	575.87
25	585.0	585.20
26	594.6	594.93
