1132B	2.00	20020417	1	From IR ODP 182, CD-ROM,ch.10,p.70-71
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	6.78
2	6.8	16.22
3	16.3	25.27
4	25.8	35.30
5	35.3	44.83
6	44.8	52.38
7	54.3	64.14
8	63.8	71.35
9	73.3	82.93
10	82.8	91.68
11	92.3	101.78
12	101.8	111.13
13	111.3	121.10
14	120.8	129.63
15	130.3	139.20
16	139.8	149.96
17	149.3	159.11
18	158.8	168.41
19	168.3	171.29
20	172.3	172.30
21	181.8	188.66
22	191.3	199.45
23	200.7	208.92
24	210.1	217.93
25	219.5	222.94
26	228.9	236.58
27	238.5	241.83
28	247.9	250.76
29	257.2	257.46
30	266.7	266.71
31	268.7	268.73
32	275.0	275.01
