1132C	2.00	20020417	1	From IR ODP 182, CD-ROM,ch.10,p.71
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	161.6	165.20
2	171.0	174.20
3	255.8	255.96
4	265.1	265.16
5	274.6	274.67
6	283.6	283.63
7	293.1	293.22
8	302.5	302.63
9	312.0	312.04
10	321.3	321.43
11	330.3	330.60
12	339.3	339.46
13	348.1	348.31
14	357.5	357.62
15	367.0	367.20
16	376.5	376.80
17	385.8	385.92
18	394.7	394.94
19	404.2	404.35
20	413.6	413.85
21	422.9	423.16
22	432.2	432.33
23	441.5	441.71
24	450.8	450.97
25	459.7	459.82
26	468.6	468.82
27	478.0	478.20
28	487.7	487.91
29	497.4	497.66
30	507.1	507.29
31	516.7	520.62
32	526.3	529.75
33	535.9	536.47
34	545.5	547.57
35	555.1	555.95
36	564.8	564.80
37	574.4	574.40
38	584.0	584.00
39	593.6	593.60
