1139A	2	20020627	
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	7.87
2	9.5	15.93
3	19	24.43
4	28.5	34.82
5	38	40.21
6	47.5	49.19
7	57	61.6
8	66.5	67.52
9	76	81.58
10	85.5	87.83
11	95.1	96.76
12	104.7	113.83
13	114.4	123.87
14	124	132.39
15	133.5	140.24
16	143.2	153.01
17	152.8	161.7
18	162.5	171.02
19	172.1	179.8
20	181.7	188.63
21	191.3	200.3
22	200.9	204.14
23	210.5	219.48
24	220.1	224.97
25	229.8	239.22
26	239.4	242.95
27	249.1	257.54
28	258.7	267.05
29	268.3	275.5
30	277.9	287.92
31	287.5	292.47
32	297.1	306.79
33	306.8	313.73
34	316.4	325.89
35	326.1	334.92
36	335.4	339.32
37	345	349.81
38	354.6	364.61
39	364.2	366.75
40	373.8	382.42
41	383.5	384.98
42	393.2	394.21
43	402.8	403.46
44	412.4	413.53
45	422	423.24
46	431.7	432.83
47	441.3	441.67
48	450.9	451.19
49	460.6	461.81
50	469.9	470.15
51	479.5	480.16
52	489.1	490.6
53	498.8	501.54
54	508	509.08
55	517.6	518.33
56	527.3	531.79
57	536.9	539.71
58	546.5	546.89
59	556	557.5
60	565.6	568.36
61	575.2	578.72
62	584.9	588.91
63	594.6	597.52
64	604.2	610.6
65	613.9	619.98
66	623.5	631.04
67	633.1	639.53
68	642.6	651.71
69	652	656.26
70	661.5	667.28
71	670.9	679.02
72	680.3	684.87
73	689.5	693.98
