1146C	2.00	20020814	1	From IR ODP 184, CD-ROM,ch.7,p.73-74
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	1.0	10.68
2	10.5	20.15
3	20.0	29.92
4	29.5	39.05
5	39.0	48.71
6	48.5	58.13
7	58.0	67.85
8	67.5	76.99
9	77.0	86.86
10	86.5	96.15
11	96.0	105.91
12	105.5	115.24
13	115.0	124.88
14	124.5	133.76
15	134.0	143.98
16	143.5	152.49
17	153.0	161.94
18	162.5	172.00
19	172.1	181.90
20	181.7	191.46
21	191.3	200.93
22	200.9	210.50
23	210.5	219.85
24	224.1	233.82
25	233.7	243.49
26	243.3	252.95
27	252.9	262.55
28	262.5	272.27
29	272.1	281.91
30	281.8	291.60
31	291.5	301.25
32	301.2	307.29
33	305.7	313.02
34	315.3	325.12
35	324.9	334.73
36	334.6	344.58
37	344.2	354.14
38	353.8	363.54
39	363.5	373.32
40	373.1	383.04
41	382.8	392.65
42	392.4	402.11
43	402.0	411.76
44	411.6	421.45
45	421.2	430.57
46	430.6	440.42
47	440.2	450.13
48	449.8	459.64
49	459.5	469.39
50	468.7	478.63
51	478.3	488.20
52	487.9	497.82
53	497.5	507.42
54	507.1	516.95
55	516.7	525.65
56	526.4	536.17
57	536.0	545.39
58	545.6	555.50
59	555.3	564.97
60	564.9	574.45
61	574.6	584.49
62	584.2	593.98
63	593.8	603.77
