1165B	2.00	20020812	From IR ODP 188, CD-ROM,ch.3,p.173
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	6.86
2	6.8	16.63
3	16.3	25.06
4	25.8	35.85
5	35.3	44.18
6	44.8	54.49
7	54.3	54.30
8	63.8	73.73
9	73.3	81.54
10	82.8	92.72
11	92.3	100.42
12	101.8	101.90
13	106.3	116.12
14	115.8	124.66
15	125.3	128.68
16	128.8	135.13
17	138.3	147.61
18	147.8	147.90
19	148.3	151.10
20	156.2	165.04
21	165.8	172.77
22	175.5	185.18
23	185.1	194.75
24	194.7	199.25
25	204.3	204.30
26	213.9	213.91
27	223.5	231.74
28	233.1	242.73
29	242.8	242.80
30	252.4	253.81
31	253.8	253.90
32	262.0	265.80
33	271.6	281.43
34	281.2	290.99
35	290.5	298.48
36	299.8	309.59
37	309.1	318.95
38	318.7	327.88
39	328.4	336.99
40	338.0	347.09
41	347.6	353.06
42	357.2	364.86
43	366.9	373.75
44	376.5	382.85
45	386.1	393.03
46	395.7	404.59
47	405.3	405.45
48	414.9	424.78
49	424.6	434.47
50	434.2	484.09
51	443.8	449.90
52	453.4	458.22
53	463.0	471.48
54	472.6	479.60
55	482.2	487.57
56	491.8	495.81
57	501.4	504.66
58	511.0	516.13
59	520.7	527.95
60	530.3	534.65
61	540.0	541.75
62	549.6	553.85
63	559.2	559.63
64	568.8	572.18
65	578.4	579.22
66	588.0	597.75
67	597.7	606.31
68	607.3	608.27
69	616.9	617.13
70	621.2	622.25
71	626.5	626.79
72	636.2	636.75
73	645.8	647.18
74	655.4	659.18
75	665.0	666.00
76	674.6	675.06
