1165C	2.00	20020812	From IR ODP 188, CD-ROM,ch.3,p.173
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	54.0	63.70
2	673.0	678.78
3	682.0	690.99
4	691.7	700.68
5	701.3	709.91
6	710.9	719.59
7	720.6	727.88
8	730.2	738.95
9	739.9	748.99
10	749.5	755.55
11	759.1	766.58
12	768.7	778.42
13	778.3	783.19
14	788.0	797.25
15	797.6	807.20
16	807.2	815.93
17	816.5	822.17
18	826.1	835.85
19	835.7	845.52
20	845.4	854.48
21	855.0	859.55
22	864.7	874.47
23	874.3	882.87
24	883.9	899.63
25	893.6	900.67
26	903.2	907.37
27	912.8	917.83
28	922.5	930.75
29	931.7	941.47
30	941.3	950.55
31	951.0	958.40
32	960.6	964.16
33	970.2	974.02
33	979.8	983.21
34	989.5	998.27
