1170A	2.00	20020820	1	From IR ODP 189, CD-ROM,ch.5,p.115-116
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	1.68
2	1.7	11.71
3	11.2	20.79
4	20.7	29.12
5	30.2	39.45
6	39.7	49.08
7	49.2	58.30
8	58.7	68.12
9	68.2	77.91
10	77.7	87.53
11	87.2	96.93
12	96.7	106.50
13	106.2	115.29
14	115.7	123.78
15	125.2	133.99
16	134.7	143.80
17	144.2	153.61
18	153.7	163.75
19	163.2	167.19
20	166.7	174.59
21	176.3	180.96
22	185.9	192.10
23	195.5	201.14
24	205.1	210.36
25	214.7	220.39
26	224.3	227.60
27	233.9	239.43
28	243.5	250.75
29	253.1	259.49
30	262.7	270.27
31	272.3	281.79
32	281.9	290.94
33	291.5	299.65
34	300.8	310.44
35	310.1	318.48
36	319.7	327.57
37	329.3	338.85
38	338.9	347.23
39	348.6	356.58
40	358.2	367.08
41	367.8	376.58
42	377.4	387.22
43	387.0	396.68
44	396.6	405.88
45	406.2	410.10
46	415.8	421.87
47	425.4	431.00
48	435.0	435.31
49	444.6	450.30
50	454.2	456.87
51	459.0	459.38
52	463.8	464.32
