1170D	2.00	20020820	1	From IR ODP 189, CD-ROM,ch.5,p.117
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	425.0	427.32
2	433.5	437.57
3	443.1	445.00
4	452.7	455.04
5	462.3	464.26
6	471.9	472.78
7	476.6	479.90
8	481.5	488.42
9	491.1	497.71
10	500.7	506.46
11	510.3	518.36
12	519.8	524.65
13	529.4	534.88
14	539.1	548.41
15	548.7	558.54
16	558.3	567.34
17	567.9	577.82
18	577.5	585.14
19	587.1	597.01
20	596.7	606.60
21	606.3	615.24
22	615.9	625.97
23	625.6	635.35
24	635.3	645.07
25	644.9	654.71
26	654.6	664.37
27	664.2	671.51
28	673.8	682.01
29	683.5	693.43
30	693.2	701.46
31	702.8	712.80
32	712.4	722.20
33	722.0	731.80
34	731.6	741.53
35	741.2	749.60
36	750.8	760.61
37	760.5	768.78
38	770.1	779.74
