1179C	2.00	20011121	1	From IR ODP 191,CD-ROM, ch.4, p.134
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	5.83
2	48.8	58.82
3	58.3	67.86
4	67.8	77.91
5	77.3	87.18
6	86.8	96.86
7	96.3	105.92
8	105.8	115.81
9	115.3	124.55
10	124.8	134.64
11	134.3	143.92
12	143.8	153.97
13	153.3	162.95
14	162.8	172.92
15	172.3	181.96
16	181.8	191.84
17	191.3	201.12
18	200.8	210.76
19	210.3	219.90
20	219.8	229.77
21	229.3	239.01
22	238.8	248.92
23	248.3	257.03
24	257.8	266.97
25	266.8	273.24
26	273.7	283.53
27	283.3	283.50
