1193A	2.00	20020625	1	From IR ODP 194, CD-ROM,ch.4,p.92
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	6.63
2	6.6	16.02
3	16.1	26.09
4	25.6	35.42
5	35.1	36.65
6	37.1	37.45
7	41.9	43.27
8	51.3	51.30
9	56.1	56.15
10	61.2	61.49
11	66.1	66.35
12	70.9	71.15
13	75.7	75.78
14	80.5	80.60
15	85.3	85.43
16	90.1	90.43
17	99.7	99.70
18	104.5	104.82
19	109.3	109.37
20	114.1	114.31
21	118.9	119.11
22	123.7	123.90
23	128.5	128.73
24	133.3	133.41
25	138.1	138.26
26	142.9	143.16
27	147.7	148.27
28	152.5	152.54
29	157.0	157.78
30	161.5	161.55
31	166.5	169.54
32	171.5	173.76
33	176.3	177.06
34	186.0	186.05
35	190.8	191.08
36	195.6	195.65
37	200.4	200.45
38	205.2	205.74
39	210.0	211.29
40	214.8	214.99
41	219.6	222.89
42	224.4	224.75
43	229.2	233.76
44	234.0	239.60
45	238.8	245.83
46	243.6	249.87
47	253.1	261.86
48	262.7	266.51
49	272.3	275.83
50	281.9	285.47
51	291.5	296.51
52	301.1	303.43
53	310.7	312.88
54	315.5	317.26
55	320.4	320.82
56	325.2	325.65
57	330.1	332.71
58	339.7	349.18
59	349.4	358.15
60	359.0	367.33
61	368.7	377.60
62	378.3	385.79
63	397.6	399.95
64	397.6	398.49
65	407.2	407.72
66	412.0	412.87
67	416.8	417.09
68	421.6	422.17
69	426.4	426.75
70	431.2	431.35
71	436.0	436.00
72	440.8	440.80
73	445.6	445.72
74	450.4	450.40
75	455.2	455.71
76	460.1	460.70
77	464.9	465.23
78	469.7	470.45
79	474.5	478.04
80	479.3	480.32
81	484.1	487.00
82	493.7	494.75
83	503.3	503.71
84	512.9	512.90
