1194B	2.00	20020626	1	From IR ODP 194, CD-ROM,ch.5,p.87
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	0.00
2	110.0	115.44
3	119.6	120.39
4	129.3	129.89
5	138.8	139.66
6	148.4	150.09
7	158.0	159.44
8	167.6	169.96
9	177.2	177.61
10	186.8	191.60
11	196.4	197.94
12	206.0	206.76
13	215.7	215.91
14	225.3	225.48
15	234.9	238.40
16	244.5	244.86
17	254.2	256.77
18	263.8	264.53
19	273.4	274.19
20	283.0	283.59
21	292.6	293.41
22	302.2	303.89
23	311.9	313.31
24	321.5	324.15
25	331.1	340.62
26	340.7	347.89
27	350.3	353.64
28	359.9	368.51
29	369.5	375.06
30	388.8	384.93
31	388.8	390.85
32	398.4	400.18
33	407.9	412.04
34	417.5	422.63
