1195B2.00	20020626	1	From IR ODP 194, CD-ROM,ch.6,p.69
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	8.41
2	8.4	17.54
3	17.9	27.26
4	27.4	36.92
5	36.9	45.92
6	46.4	55.57
7	55.9	65.78
8	65.4	74.41
9	74.9	84.52
10	84.4	94.15
11	93.9	103.50
12	103.4	113.04
13	112.9	122.85
14	122.4	132.19
15	131.9	141.69
16	141.4	150.97
17	150.9	160.75
18	160.4	170.50
19	169.9	179.89
20	179.4	189.38
21	188.9	198.96
22	198.4	207.43
23	207.9	210.49
24	217.5	226.87
25	227.1	237.06
26	236.7	243.37
27	246.3	255.93
28	255.9	263.63
29	265.5	274.60
30	275.1	280.80
31	284.6	285.97
32	294.2	299.33
33	303.9	310.19
34	313.5	321.23
35	323.1	330.43
36	332.7	338.76
37	342.3	350.44
38	351.9	355.17
39	361.5	365.74
40	371.2	377.57
41	380.9	382.42
42	390.6	394.66
43	400.3	401.47
44	409.9	419.64
45	419.5	428.42
46	429.1	437.87
47	438.8	446.21
48	448.4	458.06
49	458.0	463.73
50	467.7	469.74
51	477.3	480.28
52	486.9	488.06
53	496.6	497.14
54	506.2	513.11
55	515.7	517.70
