1411A	2.00	20020627
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.00	0.00
2	0.90	1.40
3	10.40	9.90
4	19.90	19.81
5	29.40	29.80
6	38.90	39.79
7	48.40	49.88
8	57.90	59.95
9	67.40	70.08
10	76.90	79.86
11	86.40	89.60
12	95.90	99.50
13	195.40	109.60
14	114.90	120.15
15	124.40	130.95
16	133.60	140.40
17	143.10	150.65
18	152.60	161.70
19	162.10	177.20
20	171.60	190.20
21	177.40	196.01
22	187.00	205.62
23	196.60	215.87
24	296.20	225.48
25	215.80	235.09
26	225.40	244.70
27	235.00	254.51
28	244.60	264.12
