173	2.00	19951010	1	From IR DSDP, 18, p. 40
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	5.50
2	5.5	14.00
3	15	23.00
4	24.5	32.5
5	34	41.50
6	43.5	48.00
7	53	59.00
8	62.5	71.00
9	72	81.50
10	81.5	90.50
11	91	96.50
12	100.5	110.00
13	110	119.50
14	119.5	124.50
15	129	134.00
16	138.5	143.00
17	148	152.00
18	157.5	166.00
19	167	172.50
20	176.5	180.00
21	186	191.50
22	195.5	202.50
23	205	208.50
24	214.5	221.50
25	224	231.50
26	233.5	239.00
27	243	249.00
28	252.5	257.00
29	262	265.00
30	271.5	272.50
31	281	282.00
32	285.5	285.50
34	304.5	308.50
35	310.5	314.00
