316	2.00	19910225	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 0 	 9 
2	 153 	 155.7 
3	 267 	 269.2 
4	 390.5 	 392.7 
5	 447.5 	 449.3 
6	 457 	 457.1 
7	 466.5 	 468.5 
8	 476 	 476.6 
9	 485.5 	 487 
10	 495 	 496.2 
11	 514 	 515 
12	 523.5 	 525.2 
13	 533 	 534.5 
14	 542.5 	 543.8 
15	 552 	 552.6 
16	 561.5 	 564.5 
17	 571 	 573.2 
18	 580.5 	 587.2 
19	 609 	 614.4 
20	 628 	 633 
21	 637.5 	 642.8 
22	 647 	 651.5 
23	 666 	 672.6 
24	 685 	 692 
25	 704 	 711.5 
26	 723 	 730 
27	 742 	 748.4 
28	 770.5 	 772.8 
29	 799 	 800.9 
30	 827.5 	 830.2 
