462A	2.00	19910225	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 78.5 	 88 
2	 249.5 	 257.85 
3	 401.5 	 401.95 
4	 411 	 411.66 
5	 420.5 	 420.72 
6	 430 	 430.05 
7	 439.5 	 440.9 
8	 487 	 491.57 
9	 515.5 	 523.25 
10	 525 	 529.83 
11	 534.5 	 536.48 
12	 544 	 546.09 
13	 553 	 556.22 
14	 563 	 564.76 
15	 566.5 	 568.1 
16	 572 	 573.83 
17	 574 	 576 
18	 576 	 578 
19	 578 	 580.72 
20	 581 	 583.9 
21	 586 	 587.82 
22	 588 	 595.27 
23	 597 	 601.6 
24	 606 	 610.63 
25	 615 	 615.9 
26	 624 	 624 
27	 626 	 629.7 
28	 630 	 635.89 
29	 636 	 643.05 
30	 645 	 653.35 
31	 654 	 654.86 
32	 655.5 	 657.92 
33	 663 	 663.06 
34	 672 	 672 
35	 681 	 681.05 
36	 685 	 685.3 
37	 690 	 690 
38	 691 	 692 
39	 692 	 697.47 
40	 702 	 703.88 
41	 711 	 720 
42	 720 	 722.54 
43	 723 	 726.81 
44	 729 	 731.98 
45	 733 	 736.65 
46	 738 	 744.46 
47	 747 	 751.1 
48	 756 	 762.66 
49	 765 	 769.3 
50	 774 	 778.5 
51	 778.5 	 783.89 
52	 787.5 	 791.85 
53	 792 	 794.84 
54	 797.5 	 799.6 
55	 801 	 803.2 
56	 806.5 	 810.2 
57	 815.5 	 817 
58	 824.5 	 829.88 
59	 833.5 	 842.21 
60	 842.5 	 847.46 
61	 851.5 	 858.98 
62	 860.5 	 864.5 
63	 864.5 	 866.84 
64	 869.5 	 876.5 
65	 876.5 	 880.73 
66	 883 	 891.92 
67	 892 	 901 
68	 901 	 908.9 
69	 910 	 913.25 
70	 919 	 923.6 
71	 928 	 928.55 
72	 931 	 934.61 
73	 937 	 940.12 
74	 946 	 953 
75	 953 	 958 
76	 958 	 958.5 
77	 967 	 971 
78	 976 	 979.58 
79	 985 	 991.85 
80	 994 	 998 
81	 998 	 1001.54 
82	 1003 	 1003.43 
83	 1004 	 1004.8 
84	 1005.5 	 1013.01 
85	 1014.5 	 1019.89 
86	 1023.5 	 1023.5 
87	 1026 	 1028.95 
88	 1032.5 	 1036.5 
89	 1036.5 	 1040.03 
90	 1041.5 	 1047.64 
91	 1050.5 	 1051.1 
92	 1059.5 	 1060.4 
