503A	2.00	19960422	1	From IR DSDP, 68, p. 166
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	1.73
2	1.8	5.56
3	6.2	6.20
4	10.6	13.75
5	15.0	19.15
6	19.4	19.42
7	23.8	27.92
8	28.2	28.20
9	32.6	36.08
10	37.0	40.64
11	41.4	45.61
12	45.8	49.65
13	50.2	54.43
14	54.6	57.86
15	59.0	62.97
16	63.4	66.46
17	67.8	69.25
18	72.2	72.26
19	76.6	79.53
20	81.0	85.35
21	85.4	89.60
22	89.8	89.80
23	94.2	96.86
24	98.6	102.70
25	103.0	103.00
26	107.4	107.40
27	111.8	112.79
28	116.2	116.20
29	120.6	124.77
30	125.0	127.86
31	129.4	133.87
32	133.8	134.50
33	138.2	139.38
34	142.6	146.16
35	147.0	147.77
36	151.4	154.78
37	155.8	158.51
38	160.2	160.26
39	164.6	167.65
40	169.0	170.01
41	173.4	177.61
42	177.8	181.79
43	182.2	185.74
44	186.6	190.57
45	191.0	191.00
46	195.4	196.55
47	199.8	200.80
48	204.2	207.85
49	208.6	210.50
50	213.0	217.35
51	217.4	222.63
52	221.8	225.66
53	226.2	230.03
54	230.6	234.75
