504B	2.00	19910225	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 260.5 	 261.74 
2	 270 	 270.96 
3	 278 	 279.35 
4	 280 	 285 
5	 289.5 	 292.22 
6	 298.5 	 301.02 
7	 307.5 	 312.46 
8	 316.5 	 322.67 
9	 325.5 	 327.3 
10	 334.5 	 336.76 
11	 343.5 	 346 
12	 352.5 	 354.59 
13	 361.5 	 367.05 
14	 370.5 	 372.12 
15	 375 	 379.1 
16	 384 	 388.37 
17	 393 	 395.33 
18	 398 	 399.5 
19	 403 	 404.87 
20	 412 	 412.92 
21	 421 	 425.39 
22	 430 	 432.24 
23	 439 	 440.1 
24	 448 	 451.47 
25	 457 	 459.28 
26	 463 	 463.62 
27	 466 	 467.28 
28	 475 	 478.86 
29	 484 	 484.77 
