516F	2.00	19910225	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 169.1 	 172.12 
2	 178.6 	 188.1 
3	 188.1 	 197.6 
4	 197.6 	 207.09 
5	 207.5 	 216.6 
6	 216.6 	 218.84 
7	 226.1 	 230.61 
8	 235.6 	 245.1 
9	 245.1 	 251.4 
10	 254.6 	 259.39 
11	 264.1 	 269.82 
12	 273.6 	 275.15 
13	 283.1 	 287.82 
14	 292.6 	 292.76 
15	 302.1 	 311.6 
16	 311.6 	 312 
17	 321.1 	 324.41 
18	 330.6 	 332.05 
19	 340.1 	 345.16 
20	 349.6 	 353.17 
21	 359.1 	 364.8 
22	 368.6 	 371.59 
23	 378.1 	 382.56 
24	 387.6 	 389.95 
25	 397.1 	 403.37 
26	 406.6 	 413.99 
27	 416.1 	 424.9 
28	 425.6 	 429.16 
29	 435.1 	 443.35 
30	 444.6 	 454.08 
31	 454.1 	 461.71 
32	 463.6 	 473.1 
33	 473.1 	 481.46 
34	 482.6 	 486.72 
35	 492.1 	 498.06 
36	 501.6 	 507.55 
37	 511.1 	 516.11 
38	 520.6 	 522.37 
39	 530.1 	 533.38 
40	 539.6 	 542.81 
41	 549.1 	 550.98 
42	 558.6 	 559.44 
43	 568.1 	 569.78 
44	 577.6 	 578.54 
45	 587.1 	 588.26 
46	 596.6 	 597.13 
47	 606.1 	 607.13 
48	 615.6 	 618.14 
49	 625.1 	 627.7 
50	 634.6 	 637.47 
51	 644.1 	 652.16 
52	 653.6 	 660.02 
53	 663.1 	 670.02 
54	 672.6 	 681.6 
55	 682.1 	 684.34 
56	 691.6 	 701.1 
57	 701.1 	 701.11 
58	 710.6 	 714.35 
59	 716.6 	 718.96 
60	 720.1 	 729.1 
61	 729.1 	 736.22 
62	 738.1 	 742.97 
63	 747.1 	 756.1 
64	 756.1 	 763.94 
65	 765.1 	 767.96 
66	 774.1 	 779.69 
67	 783.1 	 786.1 
68	 786.1 	 791.11 
69	 792.1 	 795.56 
70	 796.1 	 798.69 
71	 801.1 	 808.28 
72	 810.1 	 814.6 
73	 814.6 	 821.96 
74	 823.6 	 831.6 
75	 832.6 	 841.6 
76	 841.6 	 849.36 
77	 850.6 	 857.77 
78	 859.6 	 865.4 
79	 868.6 	 875.61 
80	 877.6 	 881.8 
81	 886.6 	 890.01 
82	 895.6 	 898.47 
83	 900.6 	 908.76 
84	 910.1 	 918.19 
85	 919.6 	 921.92 
86	 929.1 	 938.6 
87	 938.6 	 947.97 
88	 948.1 	 951.7 
89	 957.6 	 965.1 
90	 967.1 	 975.44 
91	 976.6 	 985.28 
92	 986.1 	 992.36 
93	 995.6 	 1003.44 
94	 1005.1 	 1013.68 
95	 1014.6 	 1022.56 
96	 1023.6 	 1027.28 
97	 1029.6 	 1032.6 
98	 1032.6 	 1039.7 
99	 1041.6 	 1042.5 
100	 1044.1 	 1050.1 
101	 1050.6 	 1054.2 
102	 1055.6 	 1059.6 
103	 1059.6 	 1063.57 
104	 1068.6 	 1076.63 
105	 1077.6 	 1086.6 
106	 1086.6 	 1095.6 
107	 1095.6 	 1103.33 
108	 1104.6 	 1109.1 
109	 1109.1 	 1116.16 
110	 1118.1 	 1127.1 
111	 1127.1 	 1127.1 
112	 1136.1 	 1144.76 
113	 1145.1 	 1154.1 
114	 1154.1 	 1162.92 
115	 1163.1 	 1169 
116	 1172.1 	 1180.26 
117	 1181.1 	 1190.08 
118	 1190.1 	 1194.11 
119	 1194.6 	 1201.17 
120	 1203.6 	 1205.7 
121	 1212.6 	 1213.28 
122	 1221.6 	 1224.57 
123	 1230.6 	 1231.54 
124	 1239.6 	 1240.99 
125	 1248.6 	 1250.2 
126	 1252.6 	 1257.36 
127	 1257.6 	 1263.35 
128	 1266.6 	 1269.6 
