572D	2.00	19910225	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 151 	 156.3 
2	 160.5 	 170 
3	 170 	 179.5 
4	 179.5 	 189 
5	 189 	 198.5 
6	 198.5 	 208 
7	 208 	 217.5 
8	 217.5 	 227 
9	 227 	 232.06 
10	 236.5 	 246 
11	 246 	 255.5 
12	 255.5 	 261.83 
13	 265 	 272.5 
14	 274.5 	 281.96 
15	 284 	 287.91 
16	 293.5 	 303 
17	 303 	 306.43 
18	 312.5 	 321.13 
19	 322 	 325.76 
20	 331.5 	 334.96 
21	 341 	 348.63 
22	 350.5 	 354.76 
23	 360 	 369.46 
24	 369.5 	 378.65 
25	 379 	 388.5 
26	 388.5 	 397.05 
27	 398 	 407.5 
28	 407.5 	 414.71 
29	 417 	 424.04 
30	 426.5 	 433.85 
31	 436 	 444.5 
32	 445.5 	 454.09 
33	 455 	 464.5 
34	 479.5 	 479.78 
