590B	2.00	19910225	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 0 	 2.1 
2	 2.2 	 11.42 
3	 11.8 	 21.4 
4	 21.4 	 30.98 
5	 31 	 40.4 
6	 40.6 	 50.2 
7	 50.2 	 59.79 
8	 59.8 	 69.04 
9	 69.4 	 77.45 
10	 79 	 87.87 
11	 88.6 	 97.6 
12	 98.2 	 106.72 
13	 107.8 	 117.09 
14	 117.4 	 127 
15	 127 	 136.06 
16	 136.6 	 145.36 
17	 146.2 	 155.69 
18	 155.8 	 163.83 
19	 165.4 	 173.73 
20	 175 	 184.38 
21	 184.6 	 193.04 
22	 194.2 	 200.27 
23	 203.8 	 213.27 
24	 213.4 	 222.06 
25	 223 	 231.51 
26	 232.6 	 242.2 
27	 242.2 	 250.69 
28	 251.8 	 259.1 
29	 259.1 	 267.98 
30	 268.7 	 276.98 
31	 278.3 	 286.14 
32	 287.9 	 297.15 
33	 297.5 	 307.1 
34	 307.1 	 315.53 
35	 316.7 	 324.3 
36	 326.3 	 335.8 
37	 335.9 	 345.5 
38	 345.5 	 355.1 
39	 355.1 	 364.7 
40	 364.7 	 374.3 
41	 374.3 	 383.9 
42	 383.9 	 393.5 
43	 393.5 	 400.98 
44	 403.1 	 412.7 
45	 412.7 	 420.42 
46	 422.3 	 431.9 
47	 431.9 	 441.5 
48	 441.5 	 451.1 
49	 451.1 	 458.29 
50	 460.7 	 465.01 
51	 470.3 	 479.72 
52	 479.9 	 489.5 
53	 489.5 	 499.1 
