603	2.00	19910225	1	From CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH
1	 0.0 	 9.0 
4	 122.2 	 131.67 
6	 170.2 	 170.2 
8	 199.0 	 202.87 
9	 208.6 	 213.07 
10	 218.2 	 227.8 
12	 266.2 	 270.51 
14	 314.2 	 320.5 
16	 362.2 	 368.59 
18	 410.2 	 411.62 
20	 448.6 	 455.47 
21	 458.2 	 463.49 
23	 506.2 	 512.5 
25	 544.6 	 554.2 
26	 554.2 	 562.52 
27	 563.8 	 564.01 
29	 573.4 	 581.08 
30	 583.0 	 588.94 
31	 592.6 	 596.95 
32	 602.2 	 604.88 
33	 611.8 	 620.46 
34	 621.4 	 627.06 
35	 631.0 	 639.27 
36	 640.6 	 646.58 
37	 650.2 	 653.58 
38	 659.8 	 663.22 
39	 669.4 	 671.84 
40	 679.0 	 687.86 
41	 688.6 	 698.12 
42	 698.2 	 704.78 
43	 707.8 	 710.34 
44	 717.4 	 723.49 
45	 727.0 	 734.76 
46	 736.6 	 742.73 
47	 746.2 	 748.12 
48	 755.8 	 757.44 
49	 765.4 	 769.33 
50	 775.0 	 780.93 
51	 784.6 	 787.60 
52	 794.2 	 800.63 
54	 823.0 	 826.33 
55	 227.8 	 235.04 
56	 275.8 	 285.15 
57	 323.8 	 333.44 
58	 371.8 	 381.25 
59	 419.8 	 429.44 
60	 467.8 	 477.41 
61	 515.8 	 525.40 
62	 563.0 	 563.48 
63	 803.8 	 806.00 
