610	2.00	19950908	1	From IR DSDP, 94/1, p. 361
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 0 	 9.52 
2	 9.6 	 17.57 
3	 19.2 	  23.97 
4	 28.8 	  37.71 
5	 38.4 	 47.75 
6	 147.0 	 155.08 
7	 156.6 	 166.48 
8	 166.2 	 175.79 
9	 175.8 	 185.53 
10	 233.4 	 239.18 
11	 300.6 	 304.17 
12	 348.6 	 349.14 
13	 358.2 	 361.81 
14	 406.2 	 411.04 
15	 454.2 	 463.09 
16	 502.2 	 511.91 
17	 550.2 	 559.02 
18	 597.42 	 605.03 
19	 635.82 	 640.00 
20	 645.42 	 648.79 
21	 655.02 	 657.66 
22	 664.62 	 674.49 
23	 674.22 	 676.64 
24	 683.82 	 688.34 
25	 693.42 	 699.58 
26	 703.02 	 708.70 
27	 712.62 	 721.93 
