650A	2.00	19911009	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 0 	 2.95 
2	 3 	 12.56 
3	 12.7 	 22.4 
4	 22.4 	 32.03 
5	 32.8 	 42.4 
6	 42.4 	 52.1 
7	 52.1 	 56.56 
8	 61.8 	 71.3 
9	 71.3 	 81 
10	 81 	 90.7 
11	 90.7 	 100.3 
12	 100.3 	 109.63 
13	 109.7 	 118.31 
14	 119.4 	 119.54 
15	 132.1 	 135.99 
16	 141.7 	 147.63 
17	 151.3 	 154.26 
18	 160.5 	 163.88 
19	 170.2 	 170.6 
20	 179.8 	 181.84 
21	 189.5 	 193.99 
22	 199.2 	 201.24 
23	 208.9 	 209.33 
24	 218.6 	 221.58 
25	 228.2 	 231.5 
26	 237.8 	 243.89 
27	 247.5 	 254.29 
28	 257.2 	 257.2 
29	 266.8 	 270.33 
30	 276.5 	 276.5 
31	 286.2 	 292.49 
32	 295.8 	 299.14 
33	 305.5 	 305.74 
34	 315.1 	 316.72 
35	 324.8 	 327.04 
36	 334.5 	 336.28 
37	 344.2 	 346.36 
38	 353.9 	 357.24 
39	 363.5 	 372.77 
40	 373.1 	 379.12 
41	 382.8 	 388.5 
42	 392.4 	 395.07 
43	 397.4 	 398.76 
44	 399.4 	 399.4 
45	 406.1 	 409.06 
46	 411.8 	 412.36 
47	 421.5 	 425.03 
48	 431.1 	 440.7 
49	 440.8 	 445 
50	 450.4 	 459.97 
51	 460.1 	 463.96 
52	 469.7 	 473 
53	 479.3 	 486.08 
54	 488.9 	 494.18 
55	 498.6 	 504.59 
56	 508.2 	 511.49 
57	 517.9 	 521.31 
58	 527.5 	 531.87 
59	 537.2 	 540.23 
60	 546.8 	 550.58 
61	 556.5 	 559.35 
62	 566.1 	 569.53 
63	 575.8 	 581.26 
64	 584.4 	 588.17 
65	 594.1 	 597.51 
66	 599.8 	 603.39 
67	 604.8 	 608.36 
68	 614.5 	 617.22 
69	 624.2 	 625.26 
