688E	2.00	19911009	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 350 	 353.15 
2	 355.5 	 356.2 
3	 365 	 371.13 
4	 374.5 	 380.21 
5	 384 	 393.15 
6	 393.5 	 403 
7	 403 	 412.5 
8	 412.5 	 421.95 
9	 422 	 430.67 
10	 431.5 	 438.72 
11	 441 	 441.17 
12	 450.5 	 453.57 
13	 460 	 460.35 
14	 469.5 	 474.43 
15	 479 	 482.17 
16	 488.5 	 489.94 
17	 498 	 498.06 
18	 507.5 	 507.55 
19	 517 	 522.02 
20	 526.5 	 528.51 
21	 536 	 536.03 
22	 545.5 	 545.93 
23	 555 	 559.64 
24	 564.5 	 567.65 
25	 574 	 576.84 
26	 583.5 	 584.81 
27	 593 	 595.84 
28	 602.5 	 602.5 
29	 612 	 612.05 
30	 621.5 	 623.42 
31	 631 	 631.12 
32	 640.5 	 642.65 
33	 650 	 653.41 
34	 659.5 	 662.11 
35	 669 	 670.68 
36	 678.5 	 683.81 
37	 688 	 691.34 
38	 697.5 	 703.05 
39	 707 	 711 
40	 716.5 	 716.64 
41	 726 	 728.07 
42	 735.5 	 737.62 
43	 745 	 750.87 
44	 754.5 	 757.17 
45	 764 	 768 
46	 769.5 	 769.5 
