765C	2.00	19911009	1	Extracted from CD-ROM
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 350.2 	 350.66 
2	 359.6 	 363.62 
3	 369.3 	 373.18 
4	 379 	 383.83 
5	 388.6 	 394.48 
6	 398.3 	 403.86 
7	 408 	 413.4 
8	 417.7 	 423.87 
9	 427.3 	 434.57 
10	 436.5 	 443.05 
11	 446 	 452.04 
12	 455.2 	 462.16 
13	 464.6 	 468.04 
14	 474.1 	 475.93 
15	 483.7 	 485.08 
16	 493.2 	 499.47 
17	 502.4 	 508.16 
18	 511.9 	 519.26 
19	 521.3 	 525.85 
20	 530.8 	 533.29 
21	 540.4 	 541.06 
22	 550.1 	 557.26 
23	 559.7 	 566.48 
24	 569.3 	 575.02 
25	 579 	 585.66 
26	 588.3 	 594.06 
27	 597.5 	 599.99 
28	 607 	 611.06 
29	 616.4 	 624.71 
30	 625.9 	 634.02 
31	 635.3 	 640.73 
32	 645 	 649.53 
33	 654.7 	 658.05 
34	 664.4 	 669.85 
35	 674.1 	 679.6 
36	 683.3 	 691.42 
37	 693 	 698.24 
38	 702.5 	 711.7 
39	 711.7 	 717.99 
40	 720.9 	 727.61 
41	 730.4 	 731.17 
42	 739.8 	 746.6 
43	 749.1 	 757.63 
44	 758.5 	 764.13 
45	 768.2 	 777.04 
46	 777.8 	 780.73 
47	 787.4 	 794.57 
48	 796.9 	 806.3 
49	 806.3 	 813.94 
50	 815.6 	 823.69 
51	 825 	 832.77 
52	 834.5 	 839.15 
53	 844.1 	 853.5 
54	 853.5 	 859.47 
55	 863 	 868.69 
56	 872.5 	 878.5 
57	 881.7 	 890.87 
58	 891.2 	 897.9 
59	 897.9 	 906.61 
60	 907.5 	 914.96 
61	 916.9 	 924.53 
62	 926.4 	 931.49 
63	 935.8 	 941.56 
64	 945.3 	 945.8 
65	 954.7 	 957.2 
