815A	2.00	19950911	1	FROM IR, PP 955-1001
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	 0 	 6.7 
2	 6.8 	 16.3 
3	 16.3 	 25.8 
4	 25.8 	 35.0 
5	 35.3 	 44.8 
6	 44.8 	 54.3 
7	 54.3 	 63.8 
8	 63.8 	 73.1 
9	 73.3 	 82.8 
10	 82.8 	 92.3 
11	 92.3 	 101.8 
12	 101.8 	 111.3 
13	 111.3 	 120.8 
14	 120.8 	 130.3 
15	 130.3 	 139.8 
16	 139.8 	 149.3 
17	 149.3 	 157.4 
18	 158.8 	 168.3 
19	 168.3 	 177.8 
20	 177.8 	 187.3 
21	 187.3 	 196.8 
22	 196.8 	 206.3 
23	 206.3 	 214.4 
24	 215.8 	 225.0 
25	 225.3 	 225.8 
26	 225.8 	 232.3 
27	 232.2 	 241.8 
28	 241.8 	 251.5 
29	 251.5 	 261.2 
30	 261.2 	 270.8 
31	 270.8 	 280.5 
32	 280.5 	 289.6 
33	 290.2 	 299.9 
34	 299.9 	 309.6 
35	 309.6 	 319.3 
36	 319.3 	 329.0 
37	 329.0 	 338.7 
38	 338.7 	 348.4 
39	 348.4 	 358.1 
40	 358.1 	 367.8 
41	 367.8 	 377.4 
42	 377.4 	 387.1 
43	 387.1 	 396.4 
44	 396.4 	 406.0 
45	 406.0 	 415.7 
46	 415.7 	 425.3 
47	 425.3 	 434.9 
48	 434.9 	 444.5 
49	 444.5 	 444.5 
50	 454.2 	 463.8 
