844B	2.00	19951105	1	From IR DSDP, 138/part 1, p. 125
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	4.53
2	4.5	14.48
3	14.0	24.05
4	23.5	33.48
5	22.0	42.90
6	42.5	52.52
7	52.0	62.06
8	61.5	71.44
9	71.0	81.10
10	80.5	90.27
11	90.0	99.99
12	99.5	109.59
13	109.0	118.95
14	118.5	128.26
15	128.0	137.82
16	137.5	147.43
17	147.0	157.07
18	156.5	166.43
19	166.0	175.83
20	175.5	185.58
21	185.0	194.69
22	194.6	204.27
23	204.3	213.90
24	213.9	223.65
25	223.6	232.04
26	233.3	243.06
27	242.9	243.30
28	252.6	261.66
29	261.9	271.75
30	271.6	281.47
31	281.2	291.25
