845A	2.00	19951106	1	From IR ODP, 138/part 1, p. 195
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	7.62
2	7.6	17.21
3	17.1	26.99
4	26.6	36.49
5	36.1	46.09
6	45.6	55.64
7	55.1	64.91
8	64.6	74.55
9	74.1	84.07
10	83.6	93.61
11	93.1	103.21
12	102.6	112.36
13	112.10	122.13
14	121.6	131.67
15	131.10	141.13
16	140.6	142.62
17	150.1	159.95
18	159.6	169.69
19	169.1	179.16
20	178.6	188.72
21	188.1	198.13
22	197.6	207.59
23	207.1	216.60
24	216.8	218.25
25	226.5	236.09
26	236.1	245.52
27	245.8	255.53
28	255.0	264.56
29	264.6	274.35
30	274.2	283.87
31	283.9	290.91
