849B	2.00	19951106	1	From IR ODP, 138/part 2 p. 742
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	6.76
2	6.7	15.63
3	16.2	25.21
4	25.7	35.47
5	35.2	45.25
6	44.7	53.54
7	54.2	64.26
8	63.7	73.59
9	73.2	83.29
10	82.7	92.49
11	92.2	102.16
12	101.7	111.73
13	111.2	121.09
14	120.7	125.16
15	130.3	139.71
16	140.0	149.53
17	149.7	159.44
18	159.3	169.14
19	168.5	178.23
20	177.7	187.16
21	187.3	196.61
22	197.0	206.65
23	206.6	216.34
24	216.3	226.12
25	226.0	235.25
26	235.7	242.00
27	245.3	254.96
28	255.0	264.68
29	264.7	274.38
30	274.3	283.86
31	283.9	293.69
32	293.6	303.37
33	303.2	313.06
34	312.9	322.64
35	322.6	332.48
36	332.2	342.01
37	341.8	348.24
