849D	2.00	19951106	1	From IR ODP, 149/part 2, p. 742
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	4.0	8.36
2	13.5	22.97
3	23.0	32.79
4	32.5	41.48
5	42.0	51.90
6	51.5	60.92
7	61.0	70.93
8	70.5	79.20
9	80.0	89.76
10	89.5	99.05
11	99.0	108.90
12	108.5	117.31
13	115.5	124.08
14	125.1	134.57
15	134.8	144.41
16	144.5	154.20
17	154.1	163.84
18	163.3	173.18
19	172.5	182.23
20	182.1	191.70
21	191.8	201.14
22	201.4	211.09
23	211.1	220.86
24	220.8	230.53
25	230.5	239.16
26	240.1	249.73
27	249.80	259.27
28	259.0	268.44
29	268.60	278.44
30	278.3	288.07
31	288.0	297.70
32	297.7	307.49
33	307.4	317.31
34	317.0	326.84
