850B	2.00	19951106	1	From IR ODP, 138/part 2, p. 815
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	3.0	12.78
2	12.5	22.15
3	22.0	31.74
4	31.5	41.57
5	41.0	51.08
6	50.5	60.60
7	60.0	70.11
8	69.5	70.59
9	79.0	89.08
10	88.5	98.49
11	98.0	106.90
12	107.5	117.00
13	117.1	126.74
14	126.8	136.38
15	136.4	146.05
16	146.1	155.60
17	155.7	164.90
18	165.0	174.65
19	174.2	183.95
20	183.8	193.53
21	193.5	203.15
22	203.1	212.83
23	212.8	222.39
24	222.5	231.95
25	232.1	241.73
26	241.8	251.49
27	251.0	260.79
28	260.7	270.26
29	270.3	279.93
30	279.9	289.57
31	289.6	299.34
32	299.2	308.22
33	308.9	318.75
34	318.6	328.50
35	328.20	338.16
36	337.8	344.67
37	347.5	357.28
38	357.1	360.77
39	366.8	376.66
40	376.4	386.18
41	386.1	395.95
42	395.8	399.92
