851E	2.00	19951106	1	From IR ODP, 138/part 2, p. 898/99
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	9.86
2	9.5	19.19
3	19.0	29.06
4	28.5	38.55
5	38.0	48.12
6	47.5	57.61
7	57.0	67.10
8	66.5	76.39
9	76.0	86.10
10	85.5	95.63
11	95.0	105.13
12	104.5	114.61
13	114.0	124.06
14	123.5	133.68
15	133.0	141.94
16	139.0	147.13
17	145.0	154.75
18	154.7	164.40
19	164.3	173.75
20	173.9	183.61
21	183.10	190.11
22	192.3	199.68
23	201.9	211.69
24	211.6	221.47
25	221.2	230.98
26	230.9	240.71
27	240.6	250.43
28	250.3	260.17
29	259.9	268.92
30	269.6	271.14
31	279.3	288.13
32	288.5	296.90
33	298.1	307.11
34	307.8	317.34
35	317.4	318.14
