869B	2.00	20010626	1	From IR ODP, 143 p.302
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	9.54 (wash core)
2	140.0	140.50
3	149.6	149.69
4	159.3	159.94
5	168.9	169.98
6	178.6	178.87
7	188.3	188.58
8	197.9	198.02
9	207.6	207.70
10	217.2	219.44
11	226.9	233.32
12	236.6	236.66
13	246.2	251.54
14	255.8	256.04
15	265.4	272.06
16	275.1	276.18
17	284.8	286.80
18	294.4	294.61
19	304.1	308.22
20	313.8	319.10
21	323.5	324.57
22	333.1	336.44
23	342.8	345.97
24	352.5	352.51
25	362.2	366.20
26	371.8	373.45
27	381.5	382.20
28	391.1	391.26
29	400.8	400.99
30	410.4	410.66
31	420.1	422.26
32	429.8	433.12
33	439.4	441.08
34	449.1	462.63
35	458.8	459.78
36	468.4	473.78
37	478.1	478.39
38	487.7	491.49
39	497.4	500.39
40	507.1	510.78
41	516.8	523.32
42	526.4	531.58
43	536.1	538.61
44	545.6	552.84
45	555.3	562.10
46	564.6	565.40
47	574.3	574.34
48	583.9	584.71
49	593.5	593.77
50	603.2	612.19
51	612.7	621.11
52	622.4	630.49
53	632.0	637.55
54	641.8	650.36
55	651.5	658.32
56	661.2	665.89
57	670.7	677.10
58	680.4	688.35
59	690.0	698.33
60	699.7	709.59
61	709.4	714.31
62	719.1	719.23
63	728.7	738.53
64	738.4	747.32
65	747.9	753.10
66	757.6	761.44
67	767.3	775.71
68	776.9	783.09
69	786.6	788.72
