888A	2.00	19960325	1	From IR ODP,  145, p. 89
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	8.86
2	8.8	17.58
3	18.3	28.05
4	27.8	37.48
5	37.3	46.66
6	46.8	56.68
7	56.3	66.08
8	65.8	75.78
9	75.3	85.12
10	84.8	94.71
11	94.3	104.15
12	103.8	113.82
13	113.3	123.08
14	122.8	132.40
15	132.3	141.64
16	141.8	151.55
17	151.3	161.10
18	160.8	170.90
19	170.3	180.21
20	179.8	189.35
21	189.3	199.34
22	198.8	208.82
23	208.3	218.34
24	217.8	227.81
25	227.3	237.24
26	236.8	246.80
27	246.3	256.17
28	255.8	265.70
29	265.3	275.39
30	274.8	284.24
31	284.3	294.25
32	293.8	303.87
33	303.3	312.68
34	312.8	322.71
35	322.3	331.96
36	331.8	341.71
37	341.3	350.87
38	350.8	360.54
39	360.3	369.35
40	369.8	379.79
41	379.3	389.38
42	388.8	398.84
