884B	2.00	19960327	1	From IR ODP, 145, p. 214/215
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	6.47
2	6.5	16.34
3	16.0	25.60
4	25.5	35.33
5	35.0	44.80
6	44.5	54.42
7	54.0	63.75
8	63.5	73.37
9	73.0	82.84
10	82.5	85.98
11	86.3	87.36
12	87.3	88.17
13	93.3	98.515
14	103.0	112.14
15	112.6	121.50
16	122.2	131.74
17	131.8	141.49
18	141.5	151.05
19	151.1	160.75
20	160.8	160.80
21	170.5	180.18
22	180.1	189.63
23	189.8	199.40
24	199.4	209.02
25	209.1	218.79
26	218.7	228.03
27	228.4	238.04
28	238.0	239.29
29	247.6	251.41
30	257.3	266.85
31	267.0	276.81
32	276.7	286.24
33	286.3	293.61
34	296.0	300.06
35	305.7	315.44
36	315.3	325.11
37	325.0	334.63
38	334.3	344.17
39	343.9	353.77
40	353.6	363.39
41	363.1	372.73
42	372.7	382.41
43	382.4	392.00
44	392.0	401.39
45	401.7	411.55
46	411.3	420.50
47	420.9	430.72
48	430.6	438.80
49	440.2	450.05
50	449.8	459.73
51	459.3	469.22
52	468.9	478.76
53	478.6	488.17
54	488.2	497.87
55	497.8	507.60
56	507.4	517.39
57	517.1	526.44
58	526.7	536.59
59	536.4	545.63
60	546.1	555.97
61	555.6	565.11
62	565.3	574.11
63	574.8	583.83
64	584.4	594.26
65	594.1	504.07
66	603.8	612.30
67	613.3	621.84
68	622.8	632.88
69	632.4	642.35
70	642.0	651.69
71	651.7	661.40
72	661.3	671.23
73	671.0	678.02
74	680.6	690.42
75	690.2	700.11
76	699.8	709.79
77	709.5	719.50
78	719.1	727.39
79	728.8	737.84
80	738.4	747.88
81	748.1	754.56
82	757.7	764.16
83	767.4	777.11
84	777.0	786.91
85	786.7	796.42
86	796.4	806.03
87	806.1	814.68
88	815.6	821.55
89	825.1	834.43
90	834.6	839.00
91	844.3	848.53
