887A	2.00	19960327	1	From IR ODP, 145, p. 338
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	6.65
2	6.7	16.42
3	16.2	26.22
4	25.7	35.48
5	35.2	35.21
6	44.7	54.77
7	54.2	64.16
8	63.7	73.62
9	73.2	81.35
10	82.7	92.60
11	92.2	102.28
12	101.7	111.69
13	111.2	121.26
14	120.7	130.47
15	130.2	138.47
16	139.7	144.37
17	145.1	152.52
18	154.8	163.69
19	164.4	164.43
20	174.1	183.35
21	183.7	187.13
22	193.4	202.08
23	202.9	212.85
24	212.4	221.23
25	221.9	231.90
26	231.4	231.40
27	241.2	246.40
28	250.7	259.86
29	260.2	264.76
30	269.7	277.15
31	279.4	279.40
