887C	2.00	19960327	1	From IR ODP, 145, p. 339
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	4.32
2	4.3	14.16
3	13.8	13.85
4	23.3	32.61
5	32.8	42.82
6	42.3	52.29
7	51.8	61.86
8	61.3	64.88
9	64.8	74.27
10	74.3	84.30
11	83.8	93.81
12	93.3	103.16
13	102.8	112.81
14	112.3	122.23
15	121.8	131.64
16	131.3	140.62
17	140.8	150.89
18	150.3	158-16
19	159.8	169.12
20	169.3	178.93
21	178.8	188.58
22	188.3	197.85
23	197.8	207.80
24	207.3	216.64
25	216.8	226.75
26	226.3	235.83
27	235.8	245.72
28	245.3	254.93
29	254.8	264.19
30	264.3	274.10
