891B	2.00	19960308	1	From IR ODP, 146, p. 244
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	0.03
2	12.0	12.03
3	20.8	20.83
4	29.6	29.65
5	38.4	38.40
6	47.3	47.31
7	56.2	56.21
8	65.2	65.57
9	74.1	74.10
10	83.1	83.61
11	92.0	92.50
12	100.9	100.90
13	102.9	102.90
14	109.5	110.49
15	118.4	119.46
16	127.3	128.17
17	136.2	136.20
18	148.1	148.65
19	153.9	154.55
20	162.7	164.35
21	171.6	172.17
22	176.1	177.12
23	180.5	182.75
24	189.4	189.40
25	198.2	199.30
26	207.1	207.58
27	215.9	216.47
28	224.7	225.65
29	233.6	234.53
30	237.6	239.64
31	242.4	244.46
32	251.4	252.35
33	260.2	260.95
34	263.1	264.96
35	269.0	270.93
36	277.8	277.86
37	278.8	279.06
38	286.4	289.47
39	295.1	297.37
40	304.0	306.10
41	312.8	315.61
42	321.6	323.14
43	330.4	332.78
44	339.3	339.78
45	348.2	348.85
46	357.1	357.10
47	366.1	368.55
48	375.0	375.83
49	383.9	384.26
50	392.8	393.32
51	401.7	401.70
52	410.5	411.56
53	419.3	419.30
54	428.2	428.20
55	437.0	440.11
56	445.8	447.91
57	454.7	455.33
58	463.5	465.87
