898A	2.00	19951025	From IR ODP, 149, p. 118
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	9.25
2	9.2	17.94
3	18.7	28.55
4	28.2	38.05
5	37.7	47.52
6	47.2	57.15
7	56.7	66.61
8	66.2	77.14
9	75.7	85.58
10	85.2	95.12
11	94.7	102.93
12	104.2	113.37
13	113.7	122.89
14	123.2	132.14
15	132.7	139.19
16	138.8	146.19
17	147.5	157.20
18	157.1	166.88
19	166.8	176.51
20	176.4	183.29
21	187.0	192.92
22	197.7	206.43
23	206.4	215.64
24	216.4	224.87
25	225.6	229.92
26	235.2	237.85
27	244.8	254.42
28	254.5	261.48
29	264.2	271.52
30	273.8	279.60
31	283.5	289.52
32	293.2	299.33
33	302.8	311.31
34	312.5	317.72
35	322.2	326.37
36	331.9	339.72
