899B	2.00	19961211	1	"From IR ODP, 149, p. 151"
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS		
1	230.5	234.37
2	234.8	239.33
3	244.4	253.66
4	254.0	261.95
5	263.7	272.12
6	273.4	281.53
7	283.0	292.71
8	292.6	302.39
9	302.3	310.64
10	312.0	319.88
11	321.6	328.31
12	331.2	338.89
13	340.9	349.78
14	350.6	358.40
15	360.2	367.41
16	369.8	373.83
17	379.4	383.28
18	389.1	395.08
19	398.3	403.45
20	407.7	412.42
21	417.1	423.21
22	426.3	428.61
23	435.6	439.92
24	445.3	449.21
25	454.7	457.84
26	464.2	465.78
27	473.6	475.54
28	482.9	484.32
29	492.1	493.60
30	501.3	503.56
31	510.5	512.21
32	520.0	520.50
33	529.5	530.00
34	538.9	539.70
35	548.4	549.69
36	557.6	558.17
37	557.6	557.79
